Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
All ‘Bout the Money,Meja,1998,2:52,4,0.703,0.831,9,-6.517,1,0.0442,0.0513,0.00211,0.137,0.533,102.11,16
We Like to Party,Vengaboys,1998,3:42,4,0.785,0.931,8,-4.813,1,0.0465,0.0148,0.637,0.0459,0.969,135.986,68
Freak Me,Another Level,1998,3:28,4,0.797,0.353,6,-9.931,0,0.369,0.59,0,0.102,0.0731,87.997,75
You Get What You Give,New Radicals,1998,5:00,4,0.621,0.901,2,-5.396,1,0.0302,0.17,0,0.0875,0.744,113.967,76
You Get What You Give,New Radicals,1998,5:00,4,0.621,0.901,2,-5.396,1,0.0302,0.17,0,0.0875,0.744,113.967,76
Kiss Me,Sixpence None the Richer,1998,3:28,4,0.526,0.749,3,-6.964,1,0.0283,0.023,0.00000176,0.0692,0.421,99.982,82
The Boy Is Mine,Brandy & Monica,1998,2:53,4,0.795,0.63,7,-5.854,0,0.0434,0.157,0,0.0732,0.447,97.998,87
One Week,Barenaked Ladies,1998,4:04,4,0.264,0.64,8,-6.221,1,0.0442,0.0393,0.00000231,0.151,0.19,84.828,92
Hey Leonardo (She Likes Me for Me),Blessid Union of Souls,1999,3:27,4,0.612,0.871,1,-2.965,1,0.0386,0.0384,0.00000119,0.0957,0.702,103.111,50
Graduation (Friends Forever),Vitamin C,1999,5:40,4,0.583,0.637,0,-6.464,1,0.0459,0.00722,0.0419,0.177,0.315,80.004,52
Everything You Want,Vertical Horizon,1999,4:17,4,0.636,0.761,3,-6.389,0,0.0306,0.0517,0,0.0642,0.736,93.896,61
Steal My Sunshine,Len,1999,4:25,4,0.412,0.829,4,-11.112,1,0.529,0.394,0,0.108,0.677,191.476,63
Sick and Tired,Anastacia,1999,2:24,4,0.747,0.486,11,-8.81,1,0.0502,0.153,0,0.133,0.492,145.089,64
Because I Got High,Afroman,1999,3:17,4,0.802,0.341,7,-8.56,1,0.488,0.169,0,0.0783,0.849,166.01,65
Who Let the Dogs Out,Baha Men,1999,3:18,4,0.869,0.887,0,-4.505,1,0.0992,0.0605,0,0.148,0.784,129.223,66
What Would You Do?,City High,1999,3:03,4,0.632,0.659,4,-4.401,0,0.0336,0.438,0,0.111,0.356,147.986,67
Sweetness,Jimmy Eat World,1999,3:40,4,0.487,0.898,5,-4.436,1,0.038,0.00305,0,0.26,0.597,135.331,68
She's So High,Tal Bachman,1999,3:44,4,0.537,0.84,9,-4.626,1,0.0363,0.2,0.00000215,0.0998,0.211,124.269,71
Closing Time,Semisonic,1999,4:34,4,0.478,0.854,7,-5.454,1,0.0289,0.0204,0.00000121,0.115,0.274,91.854,72
Every Morning,Sugar Ray,1999,3:39,4,0.833,0.679,8,-4.496,1,0.0365,0.0834,0.00258,0.0769,0.975,109.917,73
My Own Worst Enemy,Lit,1999,2:49,4,0.494,0.946,4,-2.757,1,0.0637,0.00129,0,0.398,0.741,103.408,75
Mambo No. 5 (A Little Bit Of...),Lou Bega,1999,3:40,4,0.622,0.807,5,-6.752,0,0.408,0.103,0,0.306,0.892,174.06,77
Rollin’,Limp Bizkit,1999,3:48,4,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,78
Rock Your Body,Justin Timberlake,1999,4:27,4,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,80
No Scrubs,TLC,1999,3:34,4,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,83
I Want It That Way,Backstreet Boys,1999,3:33,4,0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,84
Butterfly,Crazy Town,1999,3:10,4,0.763,0.628,11,-5.85,1,0.05,0.0531,0,0.114,0.193,140.958,85
All Star,Smash Mouth,1999,3:52,4,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,87
I will survive,Cake,1996,3:18,4,0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,66
